Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Accession-2	Names	Object ID	Regulation - genes directly activated by gene	Accession-1	Regulation - genes directly inhibited by gene	Accession-1	GO terms (biological process)	GO terms (cellular component)	GO terms (molecular function)	Transcription Units
rraB	b4255	4478473	4478889	ribonuclease E inhibitor protein B	ECK4248	rraB // yjgD // b4255 // ECK4248	G7885		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	regulation of endoribonuclease activity // mRNA catabolic process	cytoplasm // cytosol	protein binding // endoribonuclease inhibitor activity // protein homodimerization activity // enzyme binding // ribonuclease inhibitor activity	rraB // yjgD
trpL	b1265	1323038	1323082	<i>trp</i> operon leader peptide	ECK1259	trpL // trpEE // b1265 // ECK1259	EG11274		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	aromatic amino acid family biosynthetic process // amino acid biosynthetic process // tryptophan biosynthetic process // regulation of tryptophan metabolic process	membrane		trpL // trpLEDCBA
moaB	b0782	818055	818567	protein MoaB	ECK0771	moaB // chlA2 // b0782 // ECK0771	EG11596		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	Mo-molybdopterin cofactor biosynthetic process // protein hexamerization	cytosol	GTP binding // nucleotide binding // identical protein binding	moaBCDE // moaABCDE // moaABCDE
elfD	b0939	998490	999191	putative fimbrial chaperone ElfD	ECK0930	elfD // ycbR // b0939 // ECK0930	G6481		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	chaperone-mediated protein folding // cell wall organization // protein folding // pilus organization	periplasmic space // outer membrane-bounded periplasmic space		elfDCG-ycbUVF
rrfH	b0205	228756	228875	5S ribosomal RNA	ECK0205	rrfH // b0205 // ECK0205	EG30076		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	translation	cytosolic large ribosomal subunit // cytoplasm		rrsH-ileV-alaV-rrlH-rrfH // rrlH-rrfH // rrsH-ileV-alaV-rrlH-rrfH // rrsH-ileV-alaV-rrlH-rrfH
letB	b1834	1917510	1920143	lipophilic envelope spanning tunnel	ECK1833	letB // yebT // b1834 // ECK1833	G7007		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	intermembrane lipid transfer	plasma membrane // membrane // outer membrane-bounded periplasmic space	identical protein binding	letAB
tfaQ	b1546	1634310	1634885	Qin prophage; putative tail fiber assembly protein TfaQ	ECK1539	tfaQ // ydfM // b1546 // ECK1539	G6820		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		cytosol		nohA-stfQ-tfaQ
trpD	b1263	1319789	1321384	anthranilate synthase subunit TrpD	ECK1257	trpD // trpGD // b1263 // ECK1257	EG11027		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	phenazine biosynthetic process // aromatic amino acid family biosynthetic process // amino acid biosynthetic process // metabolic process // glutamine metabolic process // tryptophan biosynthetic process	anthranilate synthase complex // cytosol	pentosyltransferase activity // magnesium ion binding // lyase activity // glycosyltransferase activity // transferase activity // catalytic activity // anthranilate phosphoribosyltransferase activity // anthranilate synthase activity	trpLEDCBA
moeB	b0826	864380	865129	molybdopterin-synthase adenylyltransferase	ECK0816	moeB // chlN // b0826 // ECK0816	EG10154		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	Mo-molybdopterin cofactor biosynthetic process	molybdopterin cofactor (Moco) biosynthesis adenylyltransferase complex // cytoplasm // cytosol	thiosulfate sulfurtransferase activity // sulfotransferase activity // ubiquitin-like modifier activating enzyme activity // metal ion binding // nucleotidyltransferase activity // transferase activity // ATP binding // nucleotide binding // protein homodimerization activity // protein binding // molybdopterin-synthase adenylyltransferase activity	moeAB
yehB	b2109	2188430	2190910	putative fimbrial usher protein YehB	ECK2102	yehB // b2109 // ECK2102	EG11988		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	transmembrane transport // pilus assembly // DNA damage response // pilus organization	membrane // cell outer membrane	fimbrial usher porin activity	yehDCBA
rirA	b4760	3808166	3808238	small regulatory RNA RirA	ECK4617	rirA // b4760 // ECK4617	G0-16662		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	regulation of DNA-templated transcription initiation		protein binding	rirA-rfaQGPSBIJYZ-waaU
ugpB	b3453	3591009	3592325	<i>sn</i>-glycerol 3-phosphate ABC transporter periplasmic binding protein	ECK3437	ugpB // psiB // psiC // b3453 // ECK3437	EG11047		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	organic substance transport // transmembrane transport // glycerophosphodiester transmembrane transport // glycerol-3-phosphate transmembrane transport	membrane // glycerol-3-phosphate-transporting ATPase complex // periplasmic space // outer membrane-bounded periplasmic space		ugpBAECQ // ugpBAECQ
trpA	b1260	1316416	1317222	tryptophan synthase subunit &alpha;	ECK1254	trpA // try // tryp // b1260 // ECK1254	EG11024		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	aromatic amino acid family biosynthetic process // amino acid biosynthetic process // tryptophan metabolic process // tryptophan biosynthetic process	cytoplasm // cytosol	molecular adaptor activity // lyase activity // tryptophan synthase activity	trpCBA // trpLEDCBA
modA	b0763	795089	795862	molybdate ABC transporter periplasmic binding protein	ECK0752	modA // b0763 // ECK0752	EG12427		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	monoatomic anion transmembrane transport // tungstate ion transport // response to chromate // molybdate ion transport	membrane // ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing // periplasmic space // outer membrane-bounded periplasmic space	metal ion binding // molybdate ion binding // ABC-type molybdate transporter activity // tungstate binding // molybdenum ion binding	modABC // modABC
msrB	b1778	1862016	1862429	methionine sulfoxide reductase B	ECK1776	msrB // yeaA // b1778 // ECK1776	EG12394		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	response to cadmium ion // response to oxidative stress // protein repair	cytoplasm // cytosol	oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor // metal ion binding // oxidoreductase activity // iron ion binding // peptide-methionine (R)-S-oxide reductase activity // zinc ion binding // L-methionine-(R)-S-oxide reductase activity	msrB
rimM	b2608	2745370	2745918	ribosome maturation factor RimM	ECK2605	rimM // yfjA // b2608 // ECK2605	EG11153		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	ribosomal small subunit biogenesis // ribosome biogenesis // rRNA processing // maturation of SSU-rRNA // ribosomal small subunit assembly	ribosome // cytoplasm // cytosol	rRNA binding // RNA binding // ribosome binding // protein binding	rpsP-rimM-trmD-rplS
zntB	b1342	1408050	1409033	Zn<sup>2+</sup>:H<sup>+</sup> symporter	ECK1339	zntB // ydaN // b1342 // ECK1339	G6674		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	metal ion transport // transmembrane transport // magnesium ion transmembrane transport // proton transmembrane transport // cobalt ion transport // monoatomic ion transport // zinc ion import across plasma membrane // zinc ion transmembrane transport	plasma membrane // membrane	metal ion transmembrane transporter activity // cobalt ion binding // magnesium ion transmembrane transporter activity // cobalt ion transmembrane transporter activity // magnesium ion binding // protein binding // solute:proton symporter activity // zinc efflux transmembrane transporter activity // zinc ion transmembrane transporter activity	zntB
racR	b1356	1419765	1420241	Rac prophage; DNA-binding transcriptional repressor RacR	ECK1354	racR // rarC // ydaR // b1356 // ECK1354	G6680		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	rzpR // ydaW // ydaV // ydaU // ydaT // ydaS	b1362 // b1361 // b1360 // b1359 // b1358 // b1357	negative regulation of DNA-templated transcription initiation // DNA-templated transcription	cytosol	DNA binding // DNA-binding transcription repressor activity	racR
aroH	b1704	1788435	1789481	3-deoxy-7-phosphoheptulonate synthase, Trp-sensitive	ECK1702	aroH // b1704 // ECK1702	EG10080		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	biosynthetic process // chorismate biosynthetic process // aromatic amino acid family biosynthetic process // amino acid biosynthetic process	cytoplasm // cytosol	protein binding // transferase activity // 3-deoxy-7-phosphoheptulonate synthase activity // identical protein binding	aroH // aroH
mobA	b3857	4041415	4041999	molybdenum cofactor guanylyltransferase	ECK3849	mobA // chlB // mob // narB // b3857 // ECK3849	EG11829		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	Mo-molybdopterin cofactor metabolic process // Mo-molybdopterin cofactor biosynthetic process // bis(molybdopterin guanine dinucleotide)molybdenum biosynthetic process	cytoplasm // cytosol	nucleotidyltransferase activity // guanylyltransferase activity // catalytic activity // metal ion binding // transferase activity // GTP binding // nucleotide binding // molybdenum cofactor guanylyltransferase activity // magnesium ion binding // protein binding	mobAB // mobAB
suhB	b2533	2663442	2664245	Nus factor SuhB	ECK2530	suhB // ssyA // b2533 // ECK2530	EG10983		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	ribosome biogenesis // inositol metabolic process // signal transduction // phosphatidylinositol phosphate biosynthetic process // transcription antitermination	cytoplasm // cytosol	RNA binding // inositol monophosphate phosphatase activity // metal ion binding // hydrolase activity // inositol monophosphate 4-phosphatase activity // inositol monophosphate 3-phosphatase activity // lithium ion binding // protein binding // rRNA primary transcript binding // RNA polymerase binding // transcription antitermination factor activity, RNA binding // glycerol-2-phosphatase activity // RNA polymerase core enzyme binding // magnesium ion binding // inositol monophosphate 1-phosphatase activity	suhB
wzxE	b3792	3976278	3977528	lipid III<sub>ECA</sub> flippase	ECK3784	wzxE // wzx // yifJ // b3792 // ECK3784	EG11486		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	lipid translocation // enterobacterial common antigen biosynthetic process	membrane // plasma membrane	intramembrane lipid transporter activity	rfe-wzzE-wecBC-rffGHC-wecE-wzxE-wecF-wzyE-rffM
phnK	b4097	4318006	4318764	ATP-binding cassette protein PhnK	ECK4090	phnK // b4097 // ECK4090	EG10720		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	peptide transport // organic phosphonate metabolic process // organic phosphonate transport // organic phosphonate catabolic process	alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase complex // carbon phosphorus lyase complex // cytosol	ATP hydrolysis activity // ATP binding // nucleotide binding // protein binding	phnCDEEFGHIJKLMNOP
trpE	b1264	1321384	1322946	anthranilate synthase subunit TrpE	ECK1258	trpE // anth // tryD // tryp-4 // b1264 // ECK1258	EG11028		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	metabolic process // aromatic amino acid family biosynthetic process // biosynthetic process // amino acid biosynthetic process // tryptophan biosynthetic process	anthranilate synthase complex // cytosol	metal ion binding // catalytic activity // lyase activity // anthranilate synthase activity	trpLEDCBA
moaD	b0784	819048	819293	MoaD-S // molybdopterin synthase sulfur carrier subunit	ECK0773	moaD // chlA4 // chlM // b0784 // ECK0773	EG11597		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	protein metabolic process // Mo-molybdopterin cofactor biosynthetic process	molybdopterin cofactor (Moco) biosynthesis adenylyltransferase complex // MPT synthase complex // cytosol	nucleotide binding // protein binding	moaBCDE // moaABCDE // moaABCDE
yadV	b0140	155461	156201	putative fimbrial chaperone YadV	ECK0139	yadV // ecpD // b0140 // ECK0139	EG11973		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	chaperone-mediated protein folding // cell wall organization // cell adhesion // pilus organization	periplasmic space // outer membrane-bounded periplasmic space		yadV-htrE // yadV-htrE // yadV-htrE
rpsH	b3306	3446153	3446545	30S ribosomal subunit protein S8	ECK3293	rpsH // b3306 // ECK3293	EG10907		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	rpmJ // secY // rplO // rpmD // rpsE // rplR // rplF // rpsH // rpsN // rplE // rplX // rplN	b3299 // b3300 // b3301 // b3302 // b3303 // b3304 // b3305 // b3306 // b3307 // b3308 // b3309 // b3310	cytoplasmic translation // ribosomal small subunit assembly // regulation of translation // translation // regulation of mRNA stability	intracellular organelle // ribonucleoprotein complex // cytoplasm // ribosome // cytosol // cytosolic small ribosomal subunit	RNA binding // structural constituent of ribosome // rRNA binding	rplNXE-rpsNH-rplFR-rpsE-rpmD-rplO-secY-rpmJ
pqiA	b0950	1012001	1013254	intermembrane transport protein PqiA	ECK0941	pqiA // pqi5 // pqi5A // b0950 // ECK0941	G6490		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	intermembrane lipid transfer // membrane organization // response to stress	plasma membrane // membrane		pqiABC // pqiABC // pqiABC // pqiABC
ymfH	b1142	1201069	1201380	e14 prophage; putative protein YmfH	ECK1128	ymfH // b1142 // ECK1128	G6586		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		plasma membrane // membrane		ymfH-xisE-intE
